Cell_area_measured,Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_thickness,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_volume,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,Backcontact_deposition_synthesis_atmosphere,Encapsulation,Encapsulation_stack_sequence,Encapsulation_edge_sealing_materials,Encapsulation_atmosphere_for_encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_default_PCE,JV_default_Voc,JV_default_Jsc,JV_default_FF,Type
0.08,pin,ITO,C60 | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.1Cs0.05,1,Pb,1,I,3,FALSE,FALSE,1.53,1,Spin-coating,Liquid,N2,DMF; DMSO,5; 1,TRUE,Anisole,Unknown,100,10,FALSE,NiOx | SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,24.13,1.14,25.94,81.59,1
0.08,pin,ITO,C60 | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.1Cs0.05,1,Pb,1,I,3,FALSE,FALSE,1.53,1,Spin-coating,Liquid,N2,DMF; DMSO,5; 1,TRUE,Anisole,Unknown,100,10,FALSE,NiOx | SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,24.01,1.13,25.95,81.89,
0.08,pin,ITO,C60 | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.1Cs0.05,1,Pb,1,I,3,FALSE,FALSE,1.53,1,Spin-coating,Liquid,N2,DMF; DMSO,5; 1,TRUE,Anisole,Unknown,100,10,FALSE,NiOx | SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,23.6,1.14,25.43,81.39,
0.08,pin,ITO,C60 | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.1Cs0.05,1,Pb,1,I,3,FALSE,FALSE,1.53,1,Spin-coating,Liquid,N2,DMF; DMSO,5; 1,TRUE,Anisole,Unknown,100,10,FALSE,NiOx | SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,23.61,1.15,25.66,79.99,
0.08,pin,ITO,C60 | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.1Cs0.05,1,Pb,1,I,3,FALSE,FALSE,1.53,1,Spin-coating,Liquid,N2,DMF; DMSO,5; 1,TRUE,Anisole,Unknown,100,10,FALSE,NiOx | SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,22.59,1.14,25.08,78.99,
0.08,pin,ITO,C60 | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.1Cs0.05,1,Pb,1,I,3,FALSE,FALSE,1.53,1,Spin-coating,Liquid,N2,DMF; DMSO,5; 1,TRUE,Anisole,Unknown,100,10,FALSE,NiOx | SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,23.92,1.14,25.91,80.99,
0.08,pin,ITO,C60 | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.1Cs0.05,1,Pb,1,I,3,FALSE,FALSE,1.53,1,Spin-coating,Liquid,N2,DMF; DMSO,5; 1,TRUE,Anisole,Unknown,100,10,FALSE,NiOx | SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,23.49,1.15,25.37,80.49,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene;isopropanol,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.83,1.13,23.04,79.89,2
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.62,1.12,22.83 ,80.62,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.13,1.12,23.43,80.4,
